16
>> Train dataset :  data/KsponSpeech/KsponSpeech_train.json
>> Test dataset :  ['data/KsponSpeech/KsponSpeech_test.json']
Loading checkpoint model models/AIHub_train/LSTM_512x3_512x2_AIHub_train/final.pth
Model loaded
Seq2Seq(
  (encoder): EncoderRNN(
    (conv): MaskConv(
      (seq_module): Sequential(
        (0): Conv2d(1, 32, kernel_size=(41, 11), stride=(2, 2), padding=(20, 5))
        (1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
        (2): Hardtanh(min_val=0, max_val=20, inplace=True)
        (3): Conv2d(32, 32, kernel_size=(21, 11), stride=(2, 1), padding=(10, 5))
        (4): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
        (5): Hardtanh(min_val=0, max_val=20, inplace=True)
      )
    )
    (rnn): LSTM(1312, 512, num_layers=3, dropout=0.3, bidirectional=True)
  )
  (decoder): DecoderRNN(
    (rnn): LSTM(1536, 512, num_layers=2, batch_first=True, dropout=0.3)
    (embedding): Embedding(2003, 512)
    (input_dropout): Dropout(p=0.3, inplace=False)
    (attention): Attention(
      (conv): Conv1d(1, 512, kernel_size=(3,), stride=(1,), padding=(1,))
      (W): Linear(in_features=512, out_features=512, bias=False)
      (V): Linear(in_features=1024, out_features=512, bias=False)
      (fc): Linear(in_features=512, out_features=1, bias=True)
      (tanh): Tanh()
      (softmax): Softmax(dim=-1)
    )
    (fc): Linear(in_features=1536, out_features=2003, bias=True)
  )
)
Number of parameters: 31523060
Epoch: [1][1/38125]	Loss 0.3506	Cer 53.5452
Epoch: [1][2/38125]	Loss 0.1831	Cer 188.0866
Epoch: [1][3/38125]	Loss 0.2639	Cer 36.9811
Epoch: [1][4/38125]	Loss 0.1334	Cer 96.0212
Epoch: [1][5/38125]	Loss 0.2682	Cer 63.0390
Epoch: [1][6/38125]	Loss 0.2964	Cer 29.4643
Epoch: [1][7/38125]	Loss 0.3125	Cer 35.4167
Epoch: [1][8/38125]	Loss 0.2335	Cer 42.2043
Epoch: [1][9/38125]	Loss 0.2863	Cer 83.1081
Epoch: [1][10/38125]	Loss 0.1974	Cer 109.6447
Epoch: [1][11/38125]	Loss 0.2035	Cer 62.8000
Epoch: [1][12/38125]	Loss 0.2293	Cer 64.6429
Epoch: [1][13/38125]	Loss 0.1971	Cer 33.4052
Epoch: [1][14/38125]	Loss 0.2646	Cer 56.2500
Epoch: [1][15/38125]	Loss 0.2994	Cer 52.9915
Epoch: [1][16/38125]	Loss 0.2683	Cer 112.7604
Epoch: [1][17/38125]	Loss 0.1572	Cer 60.8280
Epoch: [1][18/38125]	Loss 0.3193	Cer 45.3831
Epoch: [1][19/38125]	Loss 0.2752	Cer 81.5498
Epoch: [1][20/38125]	Loss 0.1720	Cer 22.9885
Epoch: [1][21/38125]	Loss 0.2558	Cer 80.0948
Epoch: [1][22/38125]	Loss 0.2043	Cer 71.2062
Epoch: [1][23/38125]	Loss 0.3562	Cer 45.6140
Epoch: [1][24/38125]	Loss 0.3316	Cer 40.2439
Epoch: [1][25/38125]	Loss 0.2933	Cer 25.0602
Epoch: [1][26/38125]	Loss 0.2391	Cer 63.8177
Epoch: [1][27/38125]	Loss 0.3378	Cer 32.0261
Epoch: [1][28/38125]	Loss 0.1820	Cer 42.9907
Epoch: [1][29/38125]	Loss 0.1822	Cer 84.2949
Epoch: [1][30/38125]	Loss 0.1493	Cer 80.2885
Epoch: [1][31/38125]	Loss 0.1692	Cer 51.6008
Epoch: [1][32/38125]	Loss 0.1697	Cer 23.5294
Epoch: [1][33/38125]	Loss 0.2400	Cer 52.9412
Epoch: [1][34/38125]	Loss 0.2210	Cer 42.6934
Epoch: [1][35/38125]	Loss 0.1840	Cer 58.6011
Epoch: [1][36/38125]	Loss 0.3337	Cer 48.6486
Epoch: [1][37/38125]	Loss 0.2095	Cer 71.2871
Epoch: [1][38/38125]	Loss 0.2412	Cer 104.2929
Epoch: [1][39/38125]	Loss 0.2042	Cer 93.0295
Epoch: [1][40/38125]	Loss 0.3560	Cer 55.1724
Epoch: [1][41/38125]	Loss 0.2754	Cer 52.9262
Epoch: [1][42/38125]	Loss 0.1741	Cer 81.2987
Epoch: [1][43/38125]	Loss 0.1433	Cer 55.6522
Epoch: [1][44/38125]	Loss 0.1293	Cer 89.7297
Epoch: [1][45/38125]	Loss 0.2136	Cer 22.8512
Epoch: [1][46/38125]	Loss 0.2266	Cer 43.6214
Epoch: [1][47/38125]	Loss 0.1644	Cer 78.7535
Epoch: [1][48/38125]	Loss 0.1487	Cer 41.7647
Epoch: [1][49/38125]	Loss 0.2941	Cer 68.6375
Epoch: [1][50/38125]	Loss 0.3259	Cer 113.4146
Epoch: [1][51/38125]	Loss 0.1718	Cer 22.4561
Epoch: [1][52/38125]	Loss 0.2486	Cer 40.2439
Epoch: [1][53/38125]	Loss 0.2379	Cer 39.9598
Epoch: [1][54/38125]	Loss 0.1537	Cer 125.8667
Epoch: [1][55/38125]	Loss 0.1974	Cer 80.4301
Epoch: [1][56/38125]	Loss 0.2459	Cer 78.5088
Epoch: [1][57/38125]	Loss 0.2672	Cer 88.9412
Epoch: [1][58/38125]	Loss 0.1644	Cer 37.8251
Epoch: [1][59/38125]	Loss 0.1953	Cer 65.3974
Epoch: [1][60/38125]	Loss 0.1497	Cer 206.5789
Epoch: [1][61/38125]	Loss 0.1457	Cer 17.8082
Epoch: [1][62/38125]	Loss 0.2536	Cer 57.7287
Epoch: [1][63/38125]	Loss 0.2062	Cer 21.4545
Epoch: [1][64/38125]	Loss 0.1973	Cer 58.1882
Epoch: [1][65/38125]	Loss 0.1226	Cer 19.0476
Epoch: [1][66/38125]	Loss 0.2257	Cer 36.3144
Epoch: [1][67/38125]	Loss 0.1954	Cer 62.0579
Epoch: [1][68/38125]	Loss 0.2609	Cer 21.8147
Epoch: [1][69/38125]	Loss 0.1537	Cer 114.7982
Epoch: [1][70/38125]	Loss 0.2185	Cer 41.1135
Epoch: [1][71/38125]	Loss 0.1476	Cer 57.3034
Epoch: [1][72/38125]	Loss 0.1916	Cer 63.0705
Epoch: [1][73/38125]	Loss 0.2657	Cer 40.5702
Epoch: [1][74/38125]	Loss 0.2373	Cer 33.0460
Epoch: [1][75/38125]	Loss 0.4192	Cer 36.8421
Epoch: [1][76/38125]	Loss 0.2564	Cer 39.6270
Epoch: [1][77/38125]	Loss 0.1931	Cer 96.4567
Epoch: [1][78/38125]	Loss 0.1293	Cer 64.0587
Epoch: [1][79/38125]	Loss 0.1545	Cer 119.8135
Epoch: [1][80/38125]	Loss 0.1870	Cer 125.1101
Epoch: [1][81/38125]	Loss 0.2573	Cer 72.2930
Epoch: [1][82/38125]	Loss 0.2496	Cer 88.4337
Epoch: [1][83/38125]	Loss 0.2908	Cer 98.6425
Epoch: [1][84/38125]	Loss 0.0833	Cer 104.6875
Epoch: [1][85/38125]	Loss 0.3567	Cer 72.3404
Epoch: [1][86/38125]	Loss 0.1651	Cer 97.0070
Epoch: [1][87/38125]	Loss 0.1906	Cer 90.8319
Epoch: [1][88/38125]	Loss 0.2775	Cer 69.1395
Epoch: [1][89/38125]	Loss 0.1958	Cer 30.2521
Epoch: [1][90/38125]	Loss 0.2820	Cer 44.0000
Epoch: [1][91/38125]	Loss 0.1574	Cer 123.9669
Epoch: [1][92/38125]	Loss 0.1170	Cer 116.3580
Epoch: [1][93/38125]	Loss 0.1810	Cer 66.9192
Epoch: [1][94/38125]	Loss 0.1425	Cer 19.9593
Epoch: [1][95/38125]	Loss 0.2762	Cer 69.7842
Epoch: [1][96/38125]	Loss 0.1392	Cer 72.0524
Epoch: [1][97/38125]	Loss 0.3128	Cer 41.0628
Epoch: [1][98/38125]	Loss 0.1563	Cer 68.5629
Epoch: [1][99/38125]	Loss 0.2725	Cer 85.9944
Epoch: [1][100/38125]	Loss 0.4866	Cer 99.1453
Epoch: [1][101/38125]	Loss 0.1584	Cer 60.3819
Epoch: [1][102/38125]	Loss 0.2402	Cer 36.6391
Epoch: [1][103/38125]	Loss 0.2923	Cer 27.3834
Epoch: [1][104/38125]	Loss 0.2686	Cer 145.3052
Epoch: [1][105/38125]	Loss 0.2080	Cer 44.3820
Epoch: [1][106/38125]	Loss 0.2560	Cer 55.2536
Epoch: [1][107/38125]	Loss 0.2329	Cer 23.5616
Epoch: [1][108/38125]	Loss 0.1347	Cer 19.2182
Epoch: [1][109/38125]	Loss 0.2040	Cer 76.1803
Epoch: [1][110/38125]	Loss 0.2408	Cer 31.2121
Epoch: [1][111/38125]	Loss 0.1749	Cer 23.3990
Epoch: [1][112/38125]	Loss 0.1978	Cer 84.6797
Epoch: [1][113/38125]	Loss 0.1437	Cer 20.0382
Epoch: [1][114/38125]	Loss 0.1688	Cer 24.1379
Epoch: [1][115/38125]	Loss 0.2062	Cer 89.5013
Epoch: [1][116/38125]	Loss 0.2379	Cer 71.8147
Epoch: [1][117/38125]	Loss 0.1939	Cer 33.0484
Epoch: [1][118/38125]	Loss 0.2179	Cer 48.5366
Epoch: [1][119/38125]	Loss 0.2506	Cer 74.9104
Epoch: [1][120/38125]	Loss 0.2084	Cer 41.6974
Epoch: [1][121/38125]	Loss 0.2490	Cer 40.3727
Epoch: [1][122/38125]	Loss 0.1556	Cer 150.0000
Epoch: [1][123/38125]	Loss 0.1435	Cer 145.3763
Epoch: [1][124/38125]	Loss 0.2689	Cer 34.6457
Epoch: [1][125/38125]	Loss 0.1369	Cer 57.7519
Epoch: [1][126/38125]	Loss 0.2434	Cer 67.9335
Epoch: [1][127/38125]	Loss 0.2321	Cer 43.0279
Epoch: [1][128/38125]	Loss 0.2020	Cer 29.1667
Epoch: [1][129/38125]	Loss 0.1908	Cer 88.4434
Epoch: [1][130/38125]	Loss 0.1645	Cer 59.2683
Epoch: [1][131/38125]	Loss 0.1352	Cer 118.5965
Epoch: [1][132/38125]	Loss 0.1901	Cer 79.4454
Epoch: [1][133/38125]	Loss 0.1655	Cer 88.4131
Epoch: [1][134/38125]	Loss 0.1415	Cer 113.3758
Epoch: [1][135/38125]	Loss 0.2849	Cer 35.7923
